DraftPublicId,SpotlightDescription,SpotifyUrl
d_QOS5xswx7hdn9Kh,"Grant Moninger and Ryan Marker drafted the best dog films with Best in Show topping the list. The episode created the ""Mooch Rule"" — named after the obscure pick Mooch Goes to Hollywood — which limits overly esoteric selections.",https://open.spotify.com/episode/4xZEx6Zr6H7DhtoGIIyaiB
d_9eIOPSPHVNcBRpQ,Jesse Knight and Dane McDonald ranked the best Amy Adams performances with Enchanted at #1 (after Dane vetoed Jesse's initial Enchanted pick). Co-commissioner Britt Keller made a rare guest appearance.,https://open.spotify.com/episode/6KGRZjlfWfx3C3iGkOBZaB
d_deoDdtvUWpXHDkq,"Jenn Wilson and Drea Clark drafted the best films where actors play multiple roles, placing Dr. Strangelove at #1. Cloud Atlas' inclusion sparked debate; Coming to America was vetoed.",https://open.spotify.com/episode/4GBFf2WKoCg5oTo2R2CEPk
d_b6G3qJulqRLGmpg,Elric Kane and Brian Saur ranked the best remakes with The Thing at #1 and earning a Marquee of Fame induction. Dirty Rotten Scoundrels and Sorcerer represented some of the list's most surprising inclusions.,https://open.spotify.com/episode/4aBGyP0G6qx26NLJh1myR4
d_HbkFmNFcbjVfx8S,"Jim Branscome and Jonah Ray Rodrigues drafted the best punk-adjacent films with Repo Man at #1. Suburbia and Fat Kid Rules the World were vetoed, keeping the list centered on canonical punk cinema.",https://open.spotify.com/episode/1V0HhJFPB9E5lzGM609q71
d_X5RdbuwnuqLUPN7,"Thomas Grabinski and Eric Moore ranked Judd Apatow's best produced films with Superbad at #1. Get Him to the Greek was vetoed, and Grabinski's own Superbad selection was also initially vetoed before returning.",https://open.spotify.com/episode/52TzUsq1ikHHPG8hA7Gce5
d_y1oV2vv7Ow3aCFx,"Clay Keller and Kate Hagen ranked the best erotic thrillers with Body Double topping the list. No vetoes occurred, and Clay won the matchup — the episode later became a reference point for the genre's critical rehabilitation.",https://open.spotify.com/episode/03pv5WFCjFdmKCXmOxNb4Z
d_bgCbXAf2iV1WMCw,"Billy Ray Brewton and Darren Franich ranked films defined by their music with The Perks of Being a Wallflower at #1. The Big Chill was vetoed by Franich, setting up a debate about what ""mixtape"" really means.",https://open.spotify.com/episode/5lRCLqM6vCHD5KyC5rB0Uq
d_UHQ2t8rdiMMm03U,"Graham Skipper and Matt Mercer ranked creature feature films with Predator at #1. The Fly was removed via Commissioner Override, and The Thing earned its third appearance on a Screen Drafts list, achieving a rare ""Hat Trick.""",https://open.spotify.com/episode/4CqtGjOwF1wNHrN1JsDsuF
d_DHSENoJkI0SSrTv,"Oriana Nudo and Maureen Lee Lenker drafted Bogart's best films with We're No Angels at #1. Black Legion was vetoed in favor of The Maltese Falcon, resulting in an Nudo victory.",https://open.spotify.com/episode/0yQJQorJYzGeHXxDDtvzZB
d_nm6hmbD3zLXLlN4,Bryan Cogman and Riley Stearns ranked Disney's hand-drawn animated films with Sleeping Beauty at #1. Mulan was vetoed and Pinocchio's initial selection was also rejected before being taken by Stearns.,https://open.spotify.com/episode/3ONGZIogyiZ3o0TepKravK
d_zUQvRempj0nnRlW,Daniel Crooke and Mike Dougherty ranked the best queer romance films with Brokeback Mountain at #1. Bound earned a Marquee of Fame induction as the eleventh inductee.,https://open.spotify.com/episode/6N7wFi40Xc7ltb7dfjr9YT
d_naFEY4ETBgT7etf,"Billy Ray Brewton and Matt Mercer ranked the best spoof films with Amazon Women on the Moon at #1. Team America: World Police was vetoed, shaping a list that leaned toward classic and cult spoofs.",https://open.spotify.com/episode/4cv1y0AtZqJwKJGW6s7Xho
d_sBi533B6AQEAsoA,Clay Keller and Ryan Marker — with Billy Ray Brewton as Guest Commissioner — ranked the best films of 1999 with Notting Hill at #1. Ghost Dog: Way of the Samurai was vetoed; Notting Hill's #1 finish became one of the show's most surprising early results.,https://open.spotify.com/episode/21z4iCSmVdPBn0X04QRJes
d_ygI6lVMzATLyFh0,"A four-drafter Super Draft with Rebekah McKendry, Elric Kane, Graham Skipper, and Billy Ray Brewton ranking every Nightmare on Elm Street and Friday the 13th film. Friday the 13th Part VI earned the top spot, and this episode introduced the first use of the veto override feature.",https://open.spotify.com/episode/10ms4kG4SVTkFUOgUiCE2M
d_y5FynXHaCLuXTVM,"Clay Keller and Ryan Marker ranked their favorite films from the first half of 2019 with Booksmart at #1. Avengers: Endgame was vetoed by Ryan, one of the show's more memorable veto moments.",https://open.spotify.com/episode/6uq4Kh8k0CEuOn5CswRbU8
d_abM8FTtZqSrX7GC,Oriana Nudo and Rance Collins ranked the best films featuring serious child characters with Now and Then at #1. E.T. the Extra-Terrestrial was inducted into the Marquee of Fame as the fourteenth film.,https://open.spotify.com/episode/6eTNEkjlNVsFjdFlU80XHJ
d_OtAbCdVy1auzzxT,"A four-person Mega Draft with Drea Clark, BenDavid Grabinski, John Freiler, and Marc Calderaro ranking 20 Nicolas Cage films with Mom and Dad in the top spot. Adaptation was vetoed and then entered the Marquee of Fame.",https://open.spotify.com/episode/1zLWvDvhQhVqRAY1OdkyVQ
d_nlDMCJyJ1CZ1wEs,Ryan Marker and Patreon Members competed over the best films directed by actors with That Thing You Do! at #1. Night of the Hunter was initially vetoed before being selected by Marker.,https://open.spotify.com/episode/0MBsdq46vqDe50lyIu0jfd
d_PfALsXBNLoYw9RW,Walter Hollmann and Ben Mekler ranked original American movie musicals with State Fair at #1. Mamma Mia! Here We Go Again was vetoed in the episode's most spirited disagreement.,https://open.spotify.com/episode/75w8JpKk7eofLtS8hrYLVf
d_QJyyJLYcxeL3ATl,"Alonso Duralde and David Kittredge ranked Almodóvar's filmography with Law of Desire at #1. Bad Education was vetoed and then reselected, and Volver fell to a self-veto.",https://open.spotify.com/episode/5AdjTxRMQ9HoyeR4dkB0G3
d_KFWUWdGc99OJPeC,"Nichol Lovett and Darrin Navarro ranked the best ensemble cast films with Underground at #1. It's a Mad Mad Mad Mad World was vetoed, setting up a list heavy on international cinema.",https://open.spotify.com/episode/22a1d4zdmX1QfMvcim2ZTN
d_xBuw6jLBWWmwEzW,"Kate Freund, Dave Schilling, Clay Keller, and Ricky Carmona ranked 20 '90s action films with Mission: Impossible at #1. El Mariachi and The Long Kiss Goodnight were vetoed; The Matrix and Face/Off entered the Marquee of Fame.",https://open.spotify.com/episode/2oFaEzAovtWnQ22M5IrPp4
d_z9rSrvtVWgRKa9D,Joe Lynch and Drew McWeeny ranked the Carpenter filmography live with Prince of Darkness at #1. Big Trouble in Little China was initially vetoed before earning both the top spot and Marquee of Fame induction.,https://open.spotify.com/episode/5SOw78hSU0CL1WZNIQwbMD
d_vUJYqWQ15ZZn9ni,"Kyle Anderson and Billy Ray Brewton ranked horror prequels with Exorcist: The Beginning at #1. A Commissioner Override removed Indiana Jones and the Temple of Doom, citing it as more of a midquel than prequel.",https://open.spotify.com/episode/5ls2FVXIHukht7lT6kU8h7
d_30GgEe7i5w93AuB,"Elric Kane and Graham Skipper drafted the best Halloween-set movies with Kenny & Company at #1. Night of the Demons was vetoed, and Halloween earned Marquee of Fame induction as the 20th inductee.",https://open.spotify.com/episode/0fKyniLTofCKkZD5zNwEXk
d_K08UJNViVh8NlLn,"Clay Keller and Billy Ray Brewton ranked found footage films with Zero Day at #1. Faces of Death was vetoed, and The Blair Witch Project earned its Marquee of Fame induction as the 21st inductee.",https://open.spotify.com/episode/27VX1L424yW49JlPN5qfVO
d_1eTXaSOgZNe0NSX,Thomas Grabinski and Kevin Costello ranked the best heist films with Bottle Rocket at #1. National Treasure was removed via Commissioner Override and Sexy Beast was vetoed.,https://open.spotify.com/episode/16DLLR340QSVnWsCo5gjQ9
d_UUufJtGMPXBwonB,"Bryan Cogman and Milla Bell-Hart ranked PSH's best performances with Magnolia at #1. Boogie Nights was vetoed and then reselected; The Master, The Talented Mr. Ripley, and Magnolia all entered the Marquee of Fame.",https://open.spotify.com/episode/4enWpeWE5De4tJDffG1S1C
d_Xvq32nN0xuYSCO0,"Morgan Peter Brown and Jeff Cannata ranked sword-and-sorcery films with The Lord of the Rings: The Fellowship of the Ring at #1. The Hobbit was removed via Commissioner Override, and The Princess Bride earned a Marquee of Fame induction.",https://open.spotify.com/episode/3P2H5r7j6Pf6lmp2WTBybl
d_v5r7z0W4pfvRf9z,"Graham Skipper and Brea Grant ranked the best films about games with Tron at #1. Jumanji, Tommy, and The Wizard were all vetoed.",https://open.spotify.com/episode/13Xd5T7qD2y1zpZixD2phd
d_yiVx8CN48BU7Awd,"Darren Franich, Clay Keller, Alison Herman, and Piya Sinha-Roy ranked 20 films of the 2010s with Get Out at #1. Toni Erdmann was vetoed and Inherent Vice had a veto overridden by Franich — one of the decade draft's most contentious moments.",https://open.spotify.com/episode/2vrGshSqlXEnZkvSngu0KB
d_sLbDdZ7XR3Ax3qq,"Alonso Duralde and Dave White ranked the best arthouse Christmas films with A Christmas Tale at #1. La Bûche was vetoed, keeping the list weighted toward international prestige titles.",https://open.spotify.com/episode/5y9tAKX2ktGXDXPTH7rhib
d_dmbO6mqy7B25KVC,Clay Keller and Ryan Marker ranked the best Kristen Stewart films on Christmas Day with Personal Shopper at #1. Both Certain Women and Personal Shopper entered the Marquee of Fame.,https://open.spotify.com/episode/0YyLWMUCmbZUpRv5xDOL94
d_nigDmmKrAVGvvsj,Clay Keller and Patreon Members ranked the best films of 2009 with Inglourious Basterds at #1. The episode aired on New Year's Eve and featured Patreon Members' collective voice as the opposing drafter.,https://open.spotify.com/episode/3iMgt0mmAIG7YzY3HxzsJh
d_POqkXpIIA1u7n5r,"Adam B. Vary, Devan Coggan, and Chancellor Agard ranked all Star Wars theatrical films with The Empire Strikes Back at #1. Rogue One was vetoed; The Empire Strikes Back earned Marquee of Fame induction; and this episode introduced rolling veto overrides.",https://open.spotify.com/episode/5AL9Czb0pDZ5UmBoebP5zQ
d_br4JN1qYRz88RFx,"Zoe Zelkind and Ryan Marker ranked the best Laura Dern performances with Citizen Ruth at #1. The list ranged from Blue Velvet to Little Women, celebrating Dern's extraordinary range.",https://open.spotify.com/episode/58m9XCZo8VCpDbr4lQF4n9
d_wtsh7H1jV7NSLgu,Elric Kane and Rebekah McKendry ranked the best giallo films with Tenebre at #1. The Bird with the Crystal Plumage and A Lizard in a Woman's Skin were both vetoed.,https://open.spotify.com/episode/6q6TMoR85kIv4rzYy0RazL
d_5snHHG4kDDyVxpa,"Clay Keller, Marc Bernardin, Ryan Marker, and Darren Franich ranked all Star Trek films with Star Trek IV: The Voyage Home at #1. Multiple vetoes and a Commissioner Override on Star Trek: Generations led to an unusually chaotic draft.",https://open.spotify.com/episode/38b2aVWCEbWnjWgHxdvScc
d_WtyrCW2xe1TxysF,"Oriana Nudo, Billy Ray Brewton, Clay Keller, and Ryan Marker ranked 20 films of 2019 with Parasite at #1. Midsommar was vetoed twice by Ryan Marker, one of the show's most notable recurring vetoes.",https://open.spotify.com/episode/56T4PEVZBaztw5KgXlInjk
d_7oJgjqZgITSfyk8,Oriana Nudo and Rance Collins ranked films set during European vacations with Summertime at #1. An American Werewolf in London earned a Marquee of Fame induction.,https://open.spotify.com/episode/4ptCAj05744LSV4pjuyrL3
d_ZIn1YmAQ5S2qfFW,"Aaron LaPlante, Frank Dietz, and Kimmy Shields ranked 11 Universal Monster films with The Bride of Frankenstein at #1. Creature from the Black Lagoon was vetoed twice before finally making the list.",https://open.spotify.com/episode/1QuHkEkNvHjehulEZmdSbz
d_XYYNR6ON5ag36bC,Drea Clark and Lucé Tomlin-Brenner ranked the best one-wild-night films with Attack the Block at #1. Halloween was vetoed; three films entered the Marquee of Fame.,https://open.spotify.com/episode/1gEorzKWse7acbTMqdJ8xb
d_3OQ41HO3G2FEzEI,"Graham Skipper and Joe Begos ranked the best horror films of 1992 with Pet Sematary Two at #1. Candyman was vetoed before returning to the list, and Twin Peaks: Fire Walk with Me earned a Marquee of Fame induction.",https://open.spotify.com/episode/0yGsPD8JulRNcWSpO6kjy2
d_rqQAnjtqOcQbrvD,Ryan Marker and Steve Berg ranked the best Cold War films with Dr. Strangelove at #1. 2010: The Year We Make Contact was vetoed; Dr. Strangelove achieved its third appearance on separate Screen Drafts lists.,https://open.spotify.com/episode/5eOM4m06EDpvtM8Pdm1m0F
d_AiauIbjDwkTpPKt,Bryan Cogman and Billy Ray Brewton honored Max von Sydow's career with Pelle the Conqueror at #1. The Seventh Seal was vetoed; this episode was originally Patreon-exclusive but released publicly due to the COVID-19 pandemic.,https://open.spotify.com/episode/1DJyM1lSr1XbRInLGxbZ5o
d_wlqbwhh00NxVNkQ,"Clay Keller and Ryan Marker ranked post-apocalyptic films with Snowpiercer at #1. The Omega Man was vetoed; Mad Max: Fury Road, Snowpiercer, and Escape from New York entered the Marquee of Fame.",https://open.spotify.com/episode/5yqY4f9Xfq3kvm9Qd1RkfN
d_QodXIMs3Gh4gKmI,Dave Schilling and Halle Kiefer ranked the best Lorne Michaels-produced films with Wayne's World at #1. Kids in the Hall: Brain Candy was vetoed by Schilling before being reselected.,https://open.spotify.com/episode/5yQzyq0oyY2Pyqt2rqeAKB
d_85JS8cVTPxf9LCN,Graham Skipper and Brian Gillespie ranked Stuart Gordon's filmography with Re-Animator at #1. Edmond was vetoed; the episode celebrated Gordon's cult output from Re-Animator to Robot Jox.,https://open.spotify.com/episode/6IGjKuJYvBkQllFENiW9xN
d_XkKD4UwVPrP1OCB,Bryan Cogman and Maureen Lee Lenker ranked the best Warner Bros. films of the 1930s with The Adventures of Robin Hood at #1. The Petrified Forest was vetoed and The Adventures of Robin Hood was initially rejected before earning the top spot.,https://open.spotify.com/episode/6ZTF6ouwy7d12kZI14de5s
d_xX2F1IRVGlCdRH3,Billy Ray Brewton and Graham Skipper ranked the best adventure films for and about kids with Honey I Shrunk the Kids at #1. E.T. was selected for its third Screen Drafts appearance; The Sandlot was removed via Commissioner Override.,https://open.spotify.com/episode/2KS4iAD825CC5zQU2EV69L
d_4oK5GLbRzGmDdsg,Darren Franich and Ryan Marker ranked Soderbergh's filmography with The Limey at #1. Contagion was vetoed; Ocean's Eleven and The Limey both entered the Marquee of Fame.,https://open.spotify.com/episode/2qa3zPSU0Pk0WwWBt4yCTw
d_5RerjaMULGji17x,Bethy Squires and Jocey Coffman ranked the best contemporary camp films with Cats at #1. Moulin Rouge! was vetoed; Point Break entered the Marquee of Fame as the 60th inductee.,https://open.spotify.com/episode/7ALuvm8tNR5pQQfMdWw7XM
d_v2D6R2ZoUuazEsx,Joanna Robinson and Katey Rich ranked the best films about brief but transformative encounters with Brief Encounter at #1. Casablanca was vetoed by Robinson; Before Sunrise achieved its third appearance on separate Screen Drafts lists.,https://open.spotify.com/episode/2zUdx9Djpwtx1HqSDpBqf3
d_GHNrGp4gtqj0raD,Maureen Lee Lenker and Oriana Nudo ranked the best mother-daughter films with Mildred Pierce at #1. Grey Gardens was vetoed; Mamma Mia! Here We Go Again earned its seventh Marquee of Fame Hat Trick.,https://open.spotify.com/episode/117n9rBJ8532044RI0zEiV
d_OCa8YuTJGqz7Wuz,Griffin Newman and J.D. Amato ranked the best Jim Henson productions with The Muppet Movie at #1. The Muppet Christmas Carol was vetoed; Labyrinth and The Muppet Movie entered the Marquee of Fame.,https://open.spotify.com/episode/2wZYQYka2MZG1XRQ6AoURR
d_ob3h1XaFbqSThJI,Brian Duffield and Drew McWeeny ranked Cronenberg's filmography with Dead Ringers at #1. The Dead Zone and The Fly both entered the Marquee of Fame.,https://open.spotify.com/episode/3O6Z9UPZuZ3U3xJMLk2AG6
d_1k8ZCDAsJllzL0w,"Jared Moshe, Darren Franich, and Billy Ray Brewton ranked 13 classic Westerns with Stagecoach at #1. The Searchers was vetoed multiple times; this was the first installment in what became a beloved three-part western series.",https://open.spotify.com/episode/1RMLUs6bFmHVdVRyQXcXh0
d_U053eKsC4bBZGSG,Bryan Cogman and Ryan Marker ranked the best 1960s movie musicals with How to Succeed in Business Without Really Trying at #1. West Side Story and The Sound of Music were each vetoed before making the list.,https://open.spotify.com/episode/5OTgbLVOReS0i3AKRhFI2W
d_w32s53qjKBZZvMj,"Jordan Crucchiola and Drea Clark ranked the best mistaken-identity films with El Mariachi at #1. Two films — Much Ado About Nothing and The Talented Mr. Ripley — were removed via Commissioner Override, a rare double override.",https://open.spotify.com/episode/1MFKm01hImMx3E87w1l9CL
d_zKMXw4gwz6CkWKz,Clay Keller and Ryan Marker's 18-film Coen Brothers Super Draft placed Barton Fink at #1. The Big Lebowski was vetoed and then reselected — one of the show's most hotly contested vetoes; five films entered the Marquee of Fame.,https://open.spotify.com/episode/26xfTxTWOaehq2FtHvPOYm
d_26n9HNzM8oB87Px,Alison Willmore and Adam B. Vary ranked the best films traditionally released over July 4th weekend with Magic Mike XXL at #1. Independence Day and Terminator 2 were vetoed.,https://open.spotify.com/episode/70ZEAjE67Yvsi1HnS1mlPm
d_Q1TyrYq3GkKa5P3,Dave Parker and Rebekah McKendry ranked the best heavy metal movies with Tenacious D in The Pick of Destiny at #1. The Dirt was vetoed as insufficiently metal in spirit.,https://open.spotify.com/episode/4kUd2QuqKxiU8F4mvNUR6h
d_3KWYJuP5wevTf5n,William Bibbiani and Witney Seibold ranked the best nature-attack films with Shakma at #1. Creepshow was removed via Commissioner Override; Monkey Shines was vetoed.,https://open.spotify.com/episode/0vpqjlk4Y6cqOWiRSEsiED
d_EH9K3dTOjrP4upp,Henry Zebrowski and Graham Skipper ranked the best sketch comedy anthology films with The Ten at #1. Kids in the Hall: Brain Candy was removed via Commissioner Override and Movie 43 was vetoed.,https://open.spotify.com/episode/7xT9GR6TnoadAQo0MtbbxB
d_YATr8gVqr0bPG83,"Demi Adejuyigbe and Ify Nwadiwe ranked the best con artist films with Now You See Me at #1. The episode was later retconned as ""Modern Con Artists"" after noting all selections were from 1999 or later.",https://open.spotify.com/episode/4CKAoVwSnIULdMQQH1mDXY
d_4RBdsdFeAJnpvhg,"Christian Holub and Devan Coggan ranked the best non-superhero comic book adaptations with Sin City at #1. The list featured a strong international presence with Akira, Persepolis, and Lady Snowblood.",https://open.spotify.com/episode/6a5IObXlaGsTNGUYHg6lo5
d_JFIGG6pXlvhLoaH,Dana Schwartz and Phil Iscove ranked the best Winona Ryder films with Heathers at #1. Both Black Swan and Heathers were vetoed at various points before Heathers ultimately topped the list.,https://open.spotify.com/episode/2bcFTVZBlKQPx82v9lwqts
d_Ynkb1mK5EJ2hVfu,"Darren Franich, Ryan Marker, and Billy Ray Brewton returned for 13 more Westerns with Ulzana's Raid at #1. The Good, the Bad and the Ugly entered the Marquee of Fame; multiple self-vetoes and override attempts shaped a contentious list.",https://open.spotify.com/episode/2DLGMjSeSWNn120GP8p1S1
d_sUXDS8iFWt2J36z,"Chelsea Stardust, Billy Ray Brewton, Graham Skipper, and Clarke Wolfe drafted 20 horror films of the 1970s with Invasion of the Body Snatchers at #1. This two-part Mega Draft aired over two consecutive episodes and featured Eraserhead, Suspiria, The Exorcist, and Jaws.",https://open.spotify.com/episode/2FQvu2SB09Z2fYAGngAObY
d_8x12l4P7YPXHRzl,"Matt Mercer and Dave Holmes ranked the best road trip films with The Sure Thing at #1. Paris, Texas earned the second spot; Y Tu Mamá También and The Muppet Movie rounded out a diverse list.",https://open.spotify.com/episode/591ZiX45rfxlWLKEoAJPKx
d_ToXNWAhIo7EhZ7S,Jordan Crucchiola and Dave Schilling ranked the best Wesley Snipes films with White Men Can't Jump at #1. To Wong Foo Thanks for Everything was vetoed by Schilling; Disappearing Acts was removed via Commissioner Override under the Mooch Rule.,https://open.spotify.com/episode/1Q1g9DSffTC4SZTUr0IKxi
d_R0Mvpjntur2sWnb,"Maureen Lee Lenker, Bryan Cogman, and Graham Skipper ranked 11 Shakespeare film adaptations with Romeo and Juliet at #1. Romeo and Juliet was vetoed multiple times before landing at the top, making it one of the most contentious selections in the Shakespeare trilogy.",https://open.spotify.com/episode/39L61hjkRMnG5EVD8pseJY
d_MwDEpMqp7iuIH1z,Clay Keller and Darren Franich ranked the best Florida-set crime films with Spring Breakers at #1. Body Heat and Wild Things were notable inclusions in a sun-drenched and genre-spanning list.,https://open.spotify.com/episode/1BoaOfzpnhIN1BLLiehUwB
d_EZ2A4KHVXDsRqAE,Rebekah McKendry and Elric Kane ranked the best Lucio Fulci films with The Beyond at #1. The Devil's Honey was vetoed; this episode also featured the first appearance of the Lord Bullingdon Rule during the trivia segment.,https://open.spotify.com/episode/1nnEE2kXEkvROMCjFGqHTb
d_oQqGcoLiTpIZ8DQ,Kyle Anderson and Billy Ray Brewton ranked the best horror remakes with The Thing at #1. The Town that Dreaded Sundown was removed via Commissioner Override; The Thing (Brewton's version) was also vetoed.,https://open.spotify.com/episode/4aBGyP0G6qx26NLJh1myR4
d_QP6ziG8T7HuUkWH,"Brian Collins, Scott Wampler, and Angie Han ranked every Alien and Predator franchise film with Alien at #1 for the show's 100th episode. Multiple vetoes and overrides made this a fittingly chaotic celebration; Predator entered the Marquee of Fame.",https://open.spotify.com/episode/6ZDfxtCMa1OEsao44RTbhw
d_ceo3SZNZnUFPOrC,Jim Branscome and Alfonso Carrillo ranked the best films from the UK's Video Nasties prosecuted list with Night of the Demon at #1. Cannibal Holocaust was taken by Carrillo; Faces of Death was vetoed.,https://open.spotify.com/episode/6Kq9BGvgjfBd8kghKS2itt
d_erpE6gSLmVU6Jhl,Guy Branum and Ryan Marker ranked the best films about the American presidency with Olympus Has Fallen taking the top spot. The episode aired days before the 2020 presidential election; Ryan appeared as drafter rather than commissioner.,https://open.spotify.com/episode/3tkbpXVqDIXVyd6oIh0mic
