"id","imdb_id","title","year","plot","image","release_date","youtube_trailer_url"
"00f1d4c0-dba9-4756-bc53-988ec5a17971",tt7713068,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,"2020","After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord.",https://m.media-amazon.com/images/M/MV5BNTgwNWEwOWMtNGIxMy00YzU5LTk2MzgtMjAzMmM1MjZiY2RiXkEyXkFqcGc@._V1_Ratio0.6833_AL_.jpg,"2/7/2020",https://www.imdb.com/video/imdb/https://www.imdb.com/video/vi3883843353//imdb/embed
"01240b4c-def0-4123-ad72-2fed109f963b",tt0050419,Funny Face,"1957",An impromptu fashion shoot at a book store brings about a new fashion model discovery in the shop clerk.,https://m.media-amazon.com/images/M/MV5BZTkyZWEwMzktYTUwYi00YjkyLWJmMjktZjI1ODdkMjg5YTRiXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"2/13/1957",https://www.imdb.com/video/imdb/vi359596057/imdb/embed
"015522e0-897c-4050-8787-da3f6d1fe935",tt0110308,The Last Seduction,"1994",A devious sexpot steals her husband's drug money and hides out in a small town where she meets the perfect dupe for her next scheme.,https://m.media-amazon.com/images/M/MV5BZjE1YmMwNmYtNDQ2MS00ZTJhLWJhNGEtN2M3ZjdmYTAzNWQ2XkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"10/26/1994",https://www.imdb.com/video/imdb/vi3170173209/imdb/embed
"01701a1a-e9e1-4890-abdd-bd797e644d25",tt0095270,Hairspray,"1988",A 'pleasantly plump' teenager teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,https://m.media-amazon.com/images/M/MV5BYWI5MzRmOWEtNTU4MS00MGM0LTk3MGYtMWU4OWQ5NTYyM2UyXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"2/26/1988",https://www.imdb.com/video/imdb/vi2135275545/imdb/embed
"01b32c80-b55b-4fd7-9e93-544685671089",tt4016934,The Handmaiden,"2016","In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune.",https://m.media-amazon.com/images/M/MV5BOTllZDI1OGItOGUxNS00OGZhLWIzMjAtYzllZTY1YTA0ZmYwXkEyXkFqcGc@._V1_Ratio0.6975_AL_.jpg,"9/2/2017",https://www.imdb.com/video/imdb/vi3452614681/imdb/embed
"01dd7734-afcf-4f47-8b8a-df089c7b26e9",tt0258463,The Bourne Identity,"2002","A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",https://m.media-amazon.com/images/M/MV5BYTk1ZTcyMWMtMWUxYS00MmEzLTlmODYtOTk1MGRjOTg1ZjlmXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"6/14/2002",https://www.imdb.com/video/imdb/vi680919321/imdb/embed
"01e6ebdf-194c-4c20-a595-358c252dd796",tt0044079,Strangers on a Train,"1951",A psychopath tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.,https://m.media-amazon.com/images/M/MV5BYjZkNjIwYjktN2IzOC00MmJlLWFkNDItZDZmNGZkNjQzZTA0XkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"6/30/1951",https://www.imdb.com/video/imdb/vi2223374617/imdb/embed
"01e9bf2b-6289-4f5a-9251-954a957f5786",tt17527468,Bottoms,"2023",Two unpopular queer high-school students start a fight club to have sex before graduation.,https://m.media-amazon.com/images/M/MV5BNzEyNTNlNDAtNTMxOC00YzMzLWFkM2QtZmRiNGE5ZTQyMWFmXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"2/14/2024",https://www.imdb.com/video/imdb/https://www.imdb.com/video/vi944555033//imdb/embed
"01ee0977-29c6-4421-b0f8-d98af862ad1d",tt0083658,Blade Runner,"1982",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,https://m.media-amazon.com/images/M/MV5BOWQ4YTBmNTQtMDYxMC00NGFjLTkwOGQtNzdhNmY1Nzc1MzUxXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"6/25/1982",https://www.imdb.com/video/imdb/vi531759385/imdb/embed
"01f59e4c-2d5d-4d10-94d9-dcf16067b3c8",tt0094739,Big Business,"1988",Two couples of sisters from New York and from the countryside discover that they are connected in an incredible way.,https://m.media-amazon.com/images/M/MV5BMDYzZDkyYTItN2RiMS00MDY2LTk4NGEtZDIxNmQ2NmY4MzMyXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"6/10/1988",https://www.imdb.com/video/imdb/vi997244697/imdb/embed
"0221ed78-2f23-4ce4-8f28-b4573d4d8068",tt0111301,Street Fighter,"1994","In the midst of a civil war in South East Asia, a general intensifies the climate of violence by kidnapping 63 UN delegates. To free the hostages, a colonel leads a group of fighters, who will have to use all their skills to be successful.",https://m.media-amazon.com/images/M/MV5BMTliMDFmNDQtZjRlYS00MDE3LWJmOTktNjA0ZDUwZjcyNTdiXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"12/23/1994",https://www.imdb.com/video/imdb/vi921305369/imdb/embed
"0248aee4-9b01-4d4e-8e64-388d2dc03154",tt0279112,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack","2001","A reporter, notorious for working on pseudo-documentaries, must uncover the legend of the three guardian monsters who must rise to defend Japan from the vengeful spirits within Godzilla.",https://m.media-amazon.com/images/M/MV5BMjc4NmQyMzEtZWMxZS00ZmM2LTk0NDktNWU5ZWUyMmY4YzhiXkEyXkFqcGc@._V1_Ratio0.7189_AL_.jpg,"12/15/2001",https://www.imdb.com/video/imdb/vi1837154841/imdb/embed
"024fd986-30c3-4a89-b147-337677c0e36b",tt0077270,The Boys in Company C,"1978","In 1967, five young men undergo boot camp training before being shipped out to Vietnam. Once they get there, the experience proves worse than they could have imagined.",https://m.media-amazon.com/images/M/MV5BOTQxMWYzNGYtZDAwMi00NjhlLWI4MjQtMzQ5ZDUzNmNiZWMxXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"3/2/1978",https://www.imdb.com/video/imdb/vi1423688473/imdb/embed
"02ab9238-dc9c-4d81-8dbc-fd1fb3fb9995",tt0095271,Halloween 4: The Return of Michael Myers,"1988","Ten years after his original massacre, the invalid Michael Myers awakens on Halloween Eve and returns to Haddonfield to kill his seven-year-old niece. Can Dr. Loomis stop him?",https://m.media-amazon.com/images/M/MV5BNGQ2NzZhYjItMTYwNC00YzVhLWIwNzItMGEwM2M2ZDI3ZmNmXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"10/21/1988",https://www.imdb.com/video/imdb/vi3416981785/imdb/embed
"02bcf61b-a85f-48a8-8422-7d443103641c",tt0035899,Frankenstein Meets the Wolf Man,"1943","The resurrected Wolf Man, seeking a cure for his malady, enlists the aid of a mad scientist, who claims he will not only rid the Wolf Man of his nocturnal metamorphosis, but also revive the frozen body of Frankenstein's inhuman creation.",https://m.media-amazon.com/images/M/MV5BOTdlOGE3NzMtYzU1YS00ZWFkLTk0MDQtMjE3N2JhNjUzMWZiXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"3/5/1943",https://www.imdb.com/video/imdb/vi1423294745/imdb/embed
"02c638be-e845-41eb-9823-cc3e872e2a80",tt10954984,Nope,"2022",The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,https://m.media-amazon.com/images/M/MV5BODRlNWRhZWUtMzdlZC00ZDIyLWFhZjMtYTcxNjI1ZDIwODhjXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"7/22/2022",https://www.imdb.com/video/imdb/vi1273872921/imdb/embed
"02de4838-432c-430c-b03a-e03ec14dd78b",tt16899584,The Beatles: Get Back - The Rooftop Concert,"2022","For the first time in its entirety - The Beatles' last live performance as a group, the unforgettable rooftop concert on London's Savile Row.",https://m.media-amazon.com/images/M/MV5BNjlhMjA3YWMtODQxYy00NGFiLThlZmEtNzk5ODdlMDM0YjU3XkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"1/30/2022",https://www.imdb.com/video/imdb/vi185975577/imdb/embed
"02ebed3b-b37a-4146-9544-00ba7a8d79ee",tt0102456,Mississippi Masala,"1991",An ethnic Indian family is expelled from Idi Amin's Uganda in 1972 and lives in Mississippi 17 years later. The dad sues Uganda to get his property back. The grown daughter falls in love with a Black man.,https://m.media-amazon.com/images/M/MV5BZDc1MjUyZTMtNDQ2Mi00ZDBhLTk4ZjktM2I3ZGQ4MTUyNDkzXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"2/5/1992",https://www.imdb.com/video/imdb/vi1469710617/imdb/embed
"02f99876-2e90-4151-af2d-abc775ca578c",tt2872718,Nightcrawler,"2014","When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",https://m.media-amazon.com/images/M/MV5BYjMwMmI5MWQtOTU4OS00OTAyLTg0OTYtNmQ5YzExZTQ3ZWJhXkEyXkFqcGc@._V1_Ratio0.6975_AL_.jpg,"10/31/2014",https://www.imdb.com/video/imdb/vi4179799833/imdb/embed
"02f9f56f-cfd3-41c8-930a-078a00a9c0e5",tt9586294,Better Days,"2019","While she copes with the pressures of her final examinations, a bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants.",https://m.media-amazon.com/images/M/MV5BZDAwNDEyODMtNGQ0NC00Y2M5LWE0OTctZjIwMWU3ZDlmMzMyXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"10/25/2019",https://www.imdb.com/video/imdb/vi925678617/imdb/embed
"030c9db1-428c-4443-85c9-bf9efc328b56",tt3713166,Unfriended,"2014","A group of online chatroom friends find themselves haunted by a mysterious, supernatural force using the account of their dead friend.",https://m.media-amazon.com/images/M/MV5BMWEzOGU0OTktODU2My00YmYxLTliYjItOTkzMWRhMjMyZGNiXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"4/17/2015",https://www.imdb.com/video/imdb/https://www.imdb.com/video/vi1189457433//imdb/embed
"031941c1-e6b1-440e-8550-2905cdc67ca2",tt0091064,The Fly,"1986",A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.,https://m.media-amazon.com/images/M/MV5BOTBlNTliNTItY2VhNS00MjA5LTllYzItMmQyNGRjYTAyZWQxXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"8/15/1986",https://www.imdb.com/video/imdb/vi3631351577/imdb/embed
"0333348e-3a23-4076-b225-aa20cba1b484",tt21807222,Saw X,"2023",A sick and desperate John travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer only to discover the entire operation is a scam to defraud the most vulnerable.,https://m.media-amazon.com/images/M/MV5BODRmMzAwMWItZjI5MS00NDYyLWFjMmMtZGUwYjQ1ZTBkNmYzXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"9/29/2023",https://www.imdb.com/video/imdb/https://www.imdb.com/video/vi1276888857//imdb/embed
"03393a74-8842-49ab-ba04-6c56207c81e9",tt0091167,Hannah and Her Sisters,"1986","Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",https://m.media-amazon.com/images/M/MV5BNTdmOWViYWMtMjVjNC00MDI5LTk3ZmEtM2MxMzFkMzQ5NzNjXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"3/14/1986",https://www.imdb.com/video/imdb/vi4155179289/imdb/embed
"03480e9b-6588-4c98-b6e2-4e801579922d",tt0066921,A Clockwork Orange,"1971",Alex DeLarge and his droogs barbarize a decaying near-future.,https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_Ratio0.6762_AL_.jpg,"2/2/1972",https://www.imdb.com/video/imdb/vi4030506521/imdb/embed
"037598dd-d45c-495d-9d48-bdfa3b825f63",tt0083190,Thief,"1981","After years in prison, ace safe-cracker Frank owns a car dealership and a cocktail lounge, which are fronts for high-stakes jewelry heists. He wants to complete one last big heist for the Mob before he goes straight.",https://m.media-amazon.com/images/M/MV5BNzk2MGQ3NjMtNDc4Yy00NzEwLTk5ZDQtNzYwMjhmMzcwN2JiXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"3/27/1981",https://www.imdb.com/video/imdb/https://www.imdb.com/video/vi2107966745//imdb/embed
"069c9b06-a6e7-40c4-8d69-f771cbdc98aa",tt2415496,Love at the Thanksgiving Day Parade,"2012","An eager Thanksgiving parade coordinator is shocked when a wealthy consultant is hired to analyze its finances. Faced with teaching him that the parade means so much more to her than money, she finds herself reluctantly falling for him.",https://m.media-amazon.com/images/M/MV5BMjIzNTkxODE4Ml5BMl5BanBnXkFtZTcwMzk5ODQ3OA@@._V1_Ratio0.6762_AL_.jpg,"11/4/2012",
"037c88e2-a06b-40de-812d-d39f15af70b3",tt2660888,Star Trek Beyond,"2016","The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",https://m.media-amazon.com/images/M/MV5BN2FhNDI1YTYtNWI0OC00ZjYxLWJlYWEtN2ZiZjRmZDY1MWJjXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"7/22/2016",https://www.imdb.com/video/imdb/https://www.imdb.com/video/vi354465561//imdb/embed
"0380ae8a-2496-4319-90ce-6bfe8aa1a70c",tt0069019,Don't Torture a Duckling,"1972","When a southern Italian town is rocked by a string of child murders, the police and two urban outcasts search for the culprit amid scapegoating within the superstitious community.",https://m.media-amazon.com/images/M/MV5BYTBjZWMyMjctYTA1Zi00NmJkLWJlMmQtZGUyODA2OThmZWZjXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"9/29/1972",https://www.imdb.com/video/imdb/vi341558553/imdb/embed
"038b507b-ecd9-4574-b608-ff5f7ca5eeed",tt0493402,Boarding Gate,"2007","A beautiful woman, Sandra, seduces a wealthy businessman, Miles Rennburg. Little does he realise that she has been sent to kill him at the behest of her boyfriend/crime partner, Lester. Controlling all this is Sue, Lester's wife.",https://m.media-amazon.com/images/M/MV5BOTJlNzA2NDctN2E2NC00NTQzLTkyMWQtYjFjODk0OTczMDA2XkEyXkFqcGc@._V1_Ratio0.7402_AL_.jpg,"8/22/2007",https://www.imdb.com/video/imdb/vi2343698713/imdb/embed
"03939b70-c94e-4a8a-9ce6-eecebce58ec5",tt0067361,A Lizard in a Woman's Skin,"1971",The potentially unhinged daughter of a British politician is accused of killing her hedonistic neighbor after she witnesses the murder in a dream.,https://m.media-amazon.com/images/M/MV5BOWI4MjM2ZGItNmE3NC00YTYyLWIwZDktMzhjMmRkMWFhNDNhXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"3/20/1973",https://www.imdb.com/video/imdb/vi3298165017/imdb/embed
"0393b4e8-1105-4397-a8b2-721e8c5b9e71",tt0061589,Bob Dylan: Dont Look Back,"1967","Documentary covering Bob Dylan's 1965 tour of England, which includes appearances by Joan Baez and Donovan.",https://m.media-amazon.com/images/M/MV5BZjg1NWY2YjctMWZhMi00YmVmLWJlZDgtY2IyMzBlMWQ3ZDI2XkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"2/24/1968",https://www.imdb.com/video/imdb/vi614596889/imdb/embed
"039cffbd-c8c7-42d2-9041-9dd3232af14b",tt0072979,Female Trouble,"1974","A spoiled schoolgirl runs away from home, gets pregnant while hitch-hiking, and ends up as a fashion model for a pair of beauticians who like to photograph women committing crimes.",https://m.media-amazon.com/images/M/MV5BYzgyMjdlZTYtN2UyOC00NjE3LWIzNGUtYjNhN2VhNDQyNmQ3XkEyXkFqcGc@._V1_Ratio0.7117_AL_.jpg,"2/15/1976",https://www.imdb.com/video/imdb/vi1573961753/imdb/embed
"03a97869-ce03-4ade-8be3-9c099f46ce29",tt0295254,Feardotcom,"2002",A New York City detective investigates mysterious deaths occurring 48 hours after users log onto a site named feardotcom.,https://m.media-amazon.com/images/M/MV5BMjEyOTkwNzI4OV5BMl5BanBnXkFtZTYwNzk0MDg5._V1_Ratio0.6762_AL_.jpg,"8/30/2002",https://www.imdb.com/video/imdb/vi3014000921/imdb/embed
"03b715fc-1b09-459b-97b0-4ba99d87413f",tt0093509,Matewan,"1987","A labor union organizer comes to an embattled mining community in 1920 West Virginia, brutally and violently dominated and harassed by the mining company.",https://m.media-amazon.com/images/M/MV5BZjlhYjVkNjgtNTU2NS00MDEyLWI3NmQtYjhiMWE4MjAxNWZkXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"8/28/1987",https://www.imdb.com/video/imdb/vi663995161/imdb/embed
"03ce2b1a-0809-477c-9064-5883c2b5db20",tt0064285,The Wild Child,"1970","In a French forest in 1798, a child is found who cannot walk, speak, read or write. A doctor becomes interested in the child and patiently attempts to civilize him.",https://m.media-amazon.com/images/M/MV5BM2U5ZmU5YTMtZjZiYy00NDg3LTgyZGMtOWNhNTM5MjFmYjVlXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"9/11/1970",https://www.imdb.com/video/imdb/vi3355558425/imdb/embed
"03d3e90c-a1f3-4366-bec7-a5bbf2eb5b0f",tt0110074,The Hudsucker Proxy,"1994",A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,https://m.media-amazon.com/images/M/MV5BMTc0YmNlMmQtNWQ4Yy00ZWZlLTgxYzItOWI2MGQyZGNmMWUzXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"3/11/1994",https://www.imdb.com/video/imdb/https://www.imdb.com/video/vi1989017881//imdb/embed
"040f9ba8-0dcb-4bc9-add4-b4fbe6586fca",tt0290334,X2: X-Men United,"2003","When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",https://m.media-amazon.com/images/M/MV5BNDk0NjYxMzIzOF5BMl5BanBnXkFtZTYwMTc1MjU3._V1_Ratio0.6762_AL_.jpg,"5/2/2003",https://www.imdb.com/video/imdb/https://www.imdb.com/video/vi3840016665//imdb/embed
"042d307f-dee9-4ab5-a5d7-710a64dcbdf7",tt0091499,Maximum Overdrive,"1986",A group of people try to survive when machines start to come alive and become homicidal.,https://m.media-amazon.com/images/M/MV5BN2UzZDlhN2MtNjVhMi00MWZhLThjNTEtZTg0NDc1NjVkZDQ1XkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"7/25/1986",https://www.imdb.com/video/imdb/vi3243032089/imdb/embed
"04438667-dbc0-437a-8c46-65ca4e5b12db",tt0425637,Red Cliff,"2008",The first chapter of a two-part story centered on a battle fought in China's Three Kingdoms period (220-280 A.D.).,https://m.media-amazon.com/images/M/MV5BMTcyOTQ3NDA1OV5BMl5BanBnXkFtZTcwMDY3NzM4Mg@@._V1_Ratio0.6762_AL_.jpg,"12/4/2009",https://www.imdb.com/video/imdb/vi1347158553/imdb/embed
"0485956b-943f-4c70-a359-adb4daaaf877",tt0176049,Prisioneros de la tierra,"1939","By 1915, a contractor traveling to Posadas looking for new staff. Among the music and drinks in a bar and shipped to the mill. He is accompanied by a drunken doctor and his daughter. In the mill, injustices and cruelties are accentuated.",https://m.media-amazon.com/images/M/MV5BZjhmNzVlZjgtMzUwYS00OWY2LWIwMDktYjFmOTVhMjBmYWJlXkEyXkFqcGc@._V1_Ratio0.6975_AL_.jpg,"8/17/1939",
"0498214e-b4dd-4643-8d26-bf8d3da65a1f",tt0324216,The Texas Chainsaw Massacre,"2003","After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding loon and his family of equally psychopathic killers.",https://m.media-amazon.com/images/M/MV5BNzY0MDQwMTctYzQ1Mi00ODIwLThlMWQtODQ0NzA2ZTg3ZDFhXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"10/17/2003",https://www.imdb.com/video/imdb/vi1619047961/imdb/embed
"0498a083-8b39-4f7d-a891-d6e93a2e8961",tt0055852,Cléo from 5 to 7,"1962","Cleo, a singer and hypochondriac, becomes increasingly worried that she might have cancer while awaiting test results from her doctor.",https://m.media-amazon.com/images/M/MV5BYjVhMzAyY2YtMmNmMS00YzQ0LTllM2EtNWJjNDhiODNmNjBjXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"4/11/1962",https://www.imdb.com/video/imdb/vi4145789465/imdb/embed
"049c01e9-58bc-47da-913c-76138f57f093",tt0067052,Endless Night,"1972","A working-class young Englishman marries an affable American heiress, but their marital bliss is soon interrupted when they begin constructing a home on land alleged to be cursed.",https://m.media-amazon.com/images/M/MV5BOTczODI2YWUtNjAxMy00MjljLTk2MmQtMWYxNTQxZTA2ZmYyXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"10/5/1972",https://www.imdb.com/video/imdb/vi3458777881/imdb/embed
"04b94b7e-ef51-429c-ad89-d81c5878f4f9",tt0060390,Fahrenheit 451,"1966","In an oppressive future, a fireman whose duty is to destroy all books begins to question his task.",https://m.media-amazon.com/images/M/MV5BMDA3ZjIxY2UtMzVmMS00NTkwLTljMzktNzk2ZWMxYzZkNGE3XkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"11/14/1966",https://www.imdb.com/video/imdb/vi961855001/imdb/embed
"04bbd6ea-f682-41af-8563-55cd12cb2b02",tt0119141,Fools Rush In,"1997","After a one-night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions.",https://m.media-amazon.com/images/M/MV5BMzg4ZjA0OTUtNDIwMy00ODc0LTg2NzgtNTk4ODExYTJmYmZhXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"2/14/1997",https://www.imdb.com/video/imdb/vi4104585497/imdb/embed
"04c17053-17be-4fce-9184-7c8fffc20194",tt1216475,Cars 2,"2011",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,https://m.media-amazon.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_Ratio0.6762_AL_.jpg,"6/24/2011",https://www.imdb.com/video/imdb/https://www.imdb.com/video/vi1822465049//imdb/embed
"04c80cef-46e3-4bec-afd1-e51cfb9a67c3",tt0035015,The Magnificent Ambersons,"1942",The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.,https://m.media-amazon.com/images/M/MV5BYTk5OTYxNTEtYTU5MS00NTBkLThhZWEtYTBiYzlkOTFhY2MzXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"7/10/1942",https://www.imdb.com/video/imdb/vi1247263769/imdb/embed
